EmployeeNo,DepartmentNo,FromDate,ToDate
1001,d001,2023-01-01,2023-12-31
1002,d002,2023-02-15,2023-12-31
1003,d003,2023-03-10,2023-12-31
1004,d004,2023-04-05,2023-12-31
1005,d005,2023-05-20,2023-12-31
1006,d006,2023-06-03,2023-12-31
1007,d007,2023-07-14,2023-12-31
1008,d008,2023-08-30,2023-12-31
1009,d009,2023-09-25,2023-12-31
1010,d001,2023-10-12,2023-12-31
1011,d002,2023-11-06,2023-12-31
1012,d003,2023-12-20,2023-12-31
1013,d004,2024-01-05,2024-12-31
1014,d005,2024-02-18,2024-12-31
1015,d006,2024-03-30,2024-12-31
1016,d007,2024-04-14,2024-12-31
1017,d008,2024-05-29,2024-12-31
1018,d009,2024-06-10,2024-12-31
1019,d001,2024-07-22,2024-12-31
1020,d002,2024-08-08,2024-12-31
