EmployeeNo,Title,FromDate,ToDate
1001,Software Engineer,2021-01-10,2022-12-31
1002,Marketing Manager,2020-05-15,2021-11-30
1003,Sales Representative,2019-08-20,2021-03-25
1004,Financial Analyst,2022-03-01,2023-02-28
1005,HR Specialist,2020-09-05,2021-12-15
1006,Operations Manager,2021-06-10,2022-10-20
1007,Customer Support Agent,2022-02-15,2023-01-31
1008,Data Scientist,2021-04-20,2022-09-30
1009,Graphic Designer,2022-07-01,2023-06-30
1010,Project Manager,2020-01-05,2021-09-10
1011,Accountant,2021-11-10,2023-03-15
1012,Research Scientist,2022-08-01,2023-07-31
1013,Quality Assurance Analyst,2019-12-03,2021-08-25
1014,Product Manager,2020-03-20,2021-12-31
1015,IT Support Specialist,2022-04-15,2023-03-01
1016,Sales Manager,2021-02-10,2022-12-31
1017,Content Writer,2020-07-05,2021-11-20
1018,Business Analyst,2022-01-15,2023-06-15
1019,Customer Success Manager,2019-10-20,2021-09-30
1020,Web Developer,2021-05-01,2022-11-15
